iter	Passed	Remaining
272	1570	1881
273	1576	1875
274	1581	1869
275	1586	1862
276	1592	1856
277	1596	1849
278	1602	1843
279	1607	1836
280	1612	1830
281	1617	1824
282	1622	1817
283	1627	1811
284	1633	1805
285	1639	1799
286	1644	1793
287	1650	1787
288	1655	1781
289	1660	1775
290	1666	1769
291	1671	1762
292	1676	1756
293	1681	1749
294	1686	1743
295	1691	1737
296	1697	1731
297	1702	1725
298	1707	1719
299	1712	1712
300	1718	1707
301	1723	1700
302	1728	1694
303	1734	1688
304	1739	1682
305	1744	1675
306	1749	1669
307	1754	1663
308	1759	1657
309	1765	1651
310	1770	1644
311	1775	1638
312	1780	1632
313	1785	1626
314	1790	1620
315	1795	1613
316	1800	1607
317	1805	1601
318	1810	1594
319	1815	1588
320	1820	1582
321	1825	1576
322	1831	1570
323	1836	1564
324	1841	1558
325	1846	1552
326	1851	1545
327	1857	1540
328	1862	1534
329	1867	1528
330	1872	1521
331	1877	1515
332	1883	1509
333	1888	1503
334	1893	1497
335	1898	1491
336	1903	1485
337	1908	1479
338	1913	1473
339	1918	1467
340	1924	1461
341	1929	1455
342	1934	1449
343	1940	1443
344	1945	1437
345	1950	1431
346	1955	1425
347	1961	1420
348	1965	1413
349	1971	1407
350	1976	1401
351	1981	1396
352	1986	1390
353	1991	1384
354	1997	1378
355	2002	1372
356	2008	1366
357	2013	1361
358	2018	1355
359	2024	1349
360	2030	1344
361	2035	1338
362	2040	1332
363	2046	1326
364	2051	1320
365	2056	1315
366	2062	1309
367	2067	1303
368	2072	1297
369	2077	1291
370	2082	1285
371	2087	1279
372	2092	1273
373	2097	1267
374	2103	1261
375	2107	1255
376	2112	1249
377	2117	1243
378	2123	1238
379	2128	1232
380	2134	1226
381	2139	1220
382	2144	1215
383	2150	1209
384	2155	1203
385	2160	1197
386	2165	1192
387	2171	1186
388	2176	1180
389	2181	1174
390	2187	1169
391	2192	1163
392	2197	1157
393	2202	1151
394	2208	1145
395	2213	1140
396	2218	1134
397	2223	1128
398	2229	1122
399	2234	1117
400	2240	1111
401	2245	1105
402	2250	1100
403	2255	1094
404	2261	1088
405	2266	1082
406	2271	1077
407	2276	1071
408	2281	1065
409	2287	1059
410	2292	1054
411	2297	1048
412	2303	1042
413	2308	1037
414	2313	1031
415	2319	1025
416	2324	1020
417	2330	1014
418	2335	1008
419	2340	1003
420	2345	997
421	2350	991
422	2356	985
423	2361	980
424	2365	974
425	2371	968
426	2376	962
427	2383	957
428	2388	952
429	2393	946
430	2398	940
431	2404	935
432	2410	929
433	2415	923
434	2420	918
435	2426	912
436	2431	906
437	2436	901
438	2441	895
439	2447	889
440	2452	884
441	2458	878
442	2463	872
443	2468	867
444	2474	861
445	2479	856
446	2484	850
447	2490	844
448	2495	839
449	2500	833
450	2506	827
451	2511	822
452	2516	816
453	2522	811
454	2528	805
455	2533	799
456	2538	794
457	2543	788
458	2549	783
459	2554	777
460	2559	771
461	2564	766
462	2569	760
463	2574	754
464	2579	748
465	2584	743
466	2590	737
467	2595	732
468	2601	726
469	2606	720
470	2611	715
471	2615	709
472	2621	703
473	2626	698
474	2631	692
475	2637	686
476	2642	681
477	2648	675
478	2653	670
479	2658	664
480	2663	659
481	2669	653
482	2674	647
483	2679	642
484	2685	636
485	2689	630
486	2695	625
487	2700	619
488	2705	614
489	2710	608
490	2715	602
491	2721	597
492	2726	591
493	2731	586
494	2737	580
495	2742	574
496	2747	569
497	2753	563
498	2758	558
499	2763	552
500	2768	547
501	2773	541
502	2778	535
503	2784	530
504	2789	524
505	2794	519
506	2800	513
507	2805	508
508	2811	502
509	2816	496
510	2821	491
511	2826	485
512	2831	480
513	2837	474
514	2842	469
515	2848	463
516	2853	458
517	2858	452
518	2863	446
519	2869	441
520	2874	435
521	2879	430
522	2885	424
523	2889	419
524	2895	413
525	2900	408
526	2905	402
527	2910	396
528	2915	391
529	2920	385
530	2925	380
531	2931	374
532	2937	369
533	2942	363
534	2947	358
535	2952	352
536	2957	347
537	2963	341
538	2968	335
539	2973	330
540	2979	324
541	2984	319
542	2989	313
543	2994	308
544	2999	302
545	3004	297
546	3009	291
547	3014	286
548	3019	280
549	3025	275
550	3030	269
551	3035	263
552	3040	258
553	3045	252
554	3051	247
555	3055	241
556	3061	236
557	3066	230
558	3071	225
559	3076	219
560	3082	214
561	3087	208
562	3092	203
563	3097	197
564	3103	192
565	3108	186
566	3113	181
567	3119	175
568	3124	170
569	3129	164
570	3135	159
571	3140	153
572	3146	148
573	3151	142
574	3155	137
575	3161	131
576	3166	126
577	3171	120
578	3177	115
579	3182	109
580	3187	104
581	3192	98
582	3197	93
583	3202	87
584	3207	82
585	3212	76
586	3218	71
587	3223	65
588	3228	60
589	3234	54
590	3239	49
591	3244	43
592	3249	38
593	3254	32
594	3259	27
595	3264	21
596	3269	16
597	3275	10
598	3280	5
599	3285	0
