iter	RMSE
125	0.1939401205
126	0.1938984335
127	0.1938849851
128	0.1938660956
129	0.1937754433
130	0.1937365769
131	0.193671181
132	0.1936187499
133	0.1935907868
134	0.1935770242
135	0.193534793
136	0.1935102968
137	0.1934946658
138	0.1934691515
139	0.1934288156
140	0.1933894785
141	0.1933138039
142	0.1933008917
143	0.1932787252
144	0.1932101574
145	0.1931639715
146	0.1931421715
147	0.1930943529
148	0.1930758755
149	0.1930653962
150	0.1930323832
151	0.192986935
152	0.1929672086
153	0.1929392679
154	0.1929155507
155	0.1929032388
156	0.1928600236
157	0.1927934086
158	0.192783977
159	0.1927649583
160	0.192752651
161	0.1927517618
162	0.192749806
163	0.1926990992
164	0.1926578535
165	0.1926046066
166	0.1925499408
167	0.1925031714
168	0.1924544871
169	0.1924372155
170	0.1924056232
171	0.1924050776
172	0.192377516
173	0.1923669554
174	0.1923535623
175	0.1923337657
176	0.192329173
177	0.1922932867
178	0.1922785618
179	0.1922394197
180	0.1922312268
181	0.1921708365
182	0.1921284166
183	0.1921063644
184	0.1920867526
185	0.1920101613
186	0.1920027283
187	0.1919479649
188	0.1918900966
189	0.1918502734
190	0.1918478314
191	0.191797726
192	0.1917918559
193	0.1917891173
194	0.1917241695
195	0.1916978993
196	0.191640019
197	0.191557919
198	0.1915207889
199	0.1914898956
200	0.1914340466
201	0.1914178049
202	0.1913610903
203	0.1913283793
204	0.1912390394
205	0.1911681571
206	0.1911288856
207	0.1910571565
208	0.1909835956
209	0.1909704904
210	0.1909236254
211	0.1908629328
212	0.190859265
213	0.1908225382
214	0.1907983018
215	0.1907598325
216	0.1907148709
217	0.1906612118
218	0.1906268119
219	0.1905735008
220	0.1905107429
221	0.1904626727
222	0.1904214842
223	0.1903747653
224	0.1903617483
225	0.1903542134
226	0.1903012278
227	0.190225916
228	0.1901778517
229	0.1901576794
230	0.1901124708
231	0.1900588115
232	0.1900051415
233	0.189959128
234	0.1899045526
235	0.1898761361
236	0.1898655168
237	0.1898412402
238	0.1898200545
239	0.1897765336
240	0.1897536147
241	0.1896947448
242	0.1896577631
243	0.1896229604
244	0.1895921039
245	0.1895493036
246	0.189537984
247	0.1894958748
248	0.1894758557
249	0.1894344655
250	0.1894021864
251	0.1893574863
252	0.18934252
253	0.189336776
254	0.1892873918
255	0.1892592115
256	0.1892107463
257	0.1891609895
258	0.1890909528
259	0.1890539099
260	0.1889935876
261	0.1889821421
262	0.1889468137
263	0.1888998337
264	0.1888877855
265	0.1888860934
266	0.1888498349
267	0.1888266095
268	0.1888005633
269	0.1887523733
270	0.1887150632
271	0.1886768548
272	0.1886485673
273	0.188600549
274	0.1885552303
275	0.1885391853
276	0.1884944477
277	0.1884746545
278	0.188434637
279	0.188398097
280	0.1883914075
281	0.1883272537
282	0.1882916546
283	0.188243316
284	0.1882221536
285	0.1881937224
286	0.1881593126
287	0.1881421377
288	0.1881275548
289	0.1880843108
290	0.1880497902
291	0.188022523
292	0.187993705
293	0.1879594647
294	0.187934159
295	0.1879175232
296	0.1878503027
297	0.1878060091
298	0.1877615393
299	0.1877336692
300	0.1876970269
301	0.1876704977
302	0.1876358699
303	0.1875872261
304	0.1875511385
305	0.1875241669
306	0.1874853103
307	0.187445103
308	0.1873689358
309	0.1873459791
310	0.1873206058
311	0.1872752343
312	0.1872334376
313	0.1871873585
314	0.1871547058
315	0.1871140593
316	0.1870791678
317	0.1870462117
318	0.1870209066
319	0.1869840774
320	0.1869555903
321	0.1869037982
322	0.186890217
323	0.1868385832
324	0.1867897908
325	0.1867604748
326	0.1867339331
327	0.1866896202
328	0.1866856037
329	0.1866802247
330	0.1866559152
331	0.1866129806
332	0.186606337
333	0.1865962878
334	0.1865603695
335	0.1865535663
336	0.1864923002
337	0.1864663408
338	0.1864494316
339	0.1864256294
340	0.1864131486
341	0.1863871777
342	0.1863495583
343	0.1863234056
344	0.1862959221
345	0.1862605927
346	0.1862508274
347	0.1862136556
348	0.1862016263
349	0.1861591326
350	0.1861176593
351	0.1860916377
352	0.1860326895
353	0.1859878022
354	0.1859413894
355	0.1859000342
356	0.1858647295
357	0.1858197749
358	0.1857820159
359	0.18576635
360	0.1857546293
361	0.1857119673
362	0.1856550712
363	0.1856418861
364	0.185620479
365	0.1855855866
366	0.1855835116
367	0.1855728507
368	0.1855592632
369	0.1855238229
370	0.1854979849
371	0.1854460863
372	0.1854284248
373	0.1854025349
374	0.1853877636
375	0.1853547366
376	0.1853298559
377	0.1852998241
378	0.1852821931
379	0.1852653875
380	0.1852532059
381	0.1852353935
382	0.1852009951
383	0.1851702376
384	0.1851496552
385	0.1851381716
386	0.1851240942
387	0.1851103209
388	0.1850907445
389	0.1850469541
390	0.1850404047
391	0.1850103534
392	0.1849971609
393	0.1849679897
394	0.1849493271
395	0.1848734332
396	0.1848610774
397	0.1848222266
398	0.1848041563
399	0.1847900989
400	0.1847683052
401	0.1847635736
402	0.1847449856
403	0.1847295843
404	0.1846987732
405	0.1846481681
406	0.1846047101
407	0.1845783537
408	0.184551185
409	0.1845379257
410	0.1845103557
411	0.1844999661
412	0.1844909408
413	0.184440454
414	0.1843913143
415	0.1843824424
416	0.1843620812
417	0.1843490623
418	0.1843142463
419	0.1843055243
420	0.1842644017
421	0.1842162545
422	0.1842069173
423	0.1841794923
424	0.1841301254
425	0.1840914875
426	0.1840671146
427	0.1839880538
428	0.1839813891
429	0.1839431713
430	0.1839386529
431	0.1839057905
432	0.1838789606
433	0.183843929
434	0.1838398022
435	0.1837911475
436	0.1837718541
437	0.1837480966
438	0.1837350324
439	0.1837054719
440	0.1836750744
441	0.1836600386
442	0.1836405769
443	0.1836196683
444	0.1836148214
445	0.1836056185
446	0.1835950451
447	0.1835809954
448	0.1835609389
449	0.1835360425
450	0.1835062262
451	0.1834927082
452	0.1834643434
453	0.183452479
454	0.1834339377
455	0.1833998304
456	0.1833608237
457	0.1833441474
458	0.1833335471
459	0.1833082703
460	0.1832697993
461	0.1832543878
462	0.1832297491
463	0.1831918813
464	0.1831396164
465	0.1831036649
466	0.183063328
467	0.183038599
468	0.1830335542
469	0.1830074807
470	0.182991015
471	0.1829631099
472	0.1829381757
473	0.1828904423
474	0.1828612602
475	0.1828431178
476	0.182835742
477	0.1828094489
478	0.1827911125
479	0.1827773315
480	0.1827542827
481	0.1827155338
482	0.1827034511
483	0.182684948
484	0.1826759213
485	0.1826336488
486	0.1826300172
487	0.1826130147
488	0.1825876904
489	0.1825618935
490	0.1825195281
491	0.1824812496
492	0.182462737
493	0.1824624047
494	0.1824483907
495	0.1824371302
496	0.1824082716
497	0.1823764492
498	0.1823234632
499	0.1822819414
500	0.1822465805
501	0.1822372394
502	0.1822013247
503	0.1821517095
504	0.1821308002
505	0.1821201237
506	0.1820950596
507	0.1820679646
508	0.1820364141
509	0.1819849578
510	0.1819692564
511	0.181957074
512	0.1819426577
513	0.1819076075
514	0.181884895
515	0.1818520272
516	0.1818458542
517	0.1818258614
518	0.1818224289
519	0.1818136198
520	0.1817943822
521	0.1817816966
522	0.1817588323
523	0.1817424875
524	0.1817365913
525	0.1817219632
526	0.1817060349
527	0.1816898168
528	0.1816415668
529	0.1816096349
530	0.1815865151
531	0.1815716723
532	0.1815450071
533	0.1815291728
534	0.1815201877
535	0.1814886901
536	0.1814537941
537	0.1814369033
538	0.1814154126
539	0.1814076819
540	0.1814009254
541	0.1813777779
542	0.1813394563
543	0.1813007568
544	0.1812667248
545	0.1812419627
546	0.1812301638
547	0.1812162696
548	0.1812071395
549	0.1811988516
550	0.1811615675
551	0.1811287035
552	0.1811115135
553	0.1811075564
554	0.1810788707
555	0.181051315
556	0.1810202195
557	0.1809904171
558	0.1809611829
559	0.1809369839
560	0.1808956511
561	0.1808684498
562	0.1808411037
563	0.1808113351
564	0.1808076237
565	0.1807910417
566	0.1807671342
567	0.1807386561
568	0.180697905
569	0.1806763268
570	0.1806611234
571	0.1806171374
572	0.1805974971
573	0.1805824099
574	0.1805563639
575	0.1805138143
576	0.1804918497
577	0.1804253769
578	0.180395644
579	0.180342478
580	0.180330763
581	0.1802992083
582	0.180276267
583	0.1802472347
584	0.1802259378
585	0.1802045974
586	0.1801908698
587	0.1801782613
588	0.1801512985
589	0.1801187436
590	0.1800978415
591	0.1800689671
592	0.1800429083
593	0.1800149075
594	0.1800009396
595	0.179970803
596	0.1799508694
597	0.1799277997
598	0.1798999209
599	0.1798735498
600	0.1798418199
601	0.1798304562
602	0.1798155427
603	0.1798012858
604	0.179772338
605	0.1797579945
606	0.1797472841
607	0.1797399931
608	0.1797211272
609	0.1797148985
610	0.1796924345
611	0.1796440614
612	0.1796291137
613	0.1796129192
614	0.1795918942
615	0.1795600351
616	0.1795161204
617	0.1795116422
618	0.1794987556
619	0.1794792745
620	0.17947
621	0.1794336902
622	0.1793932526
623	0.1793836509
624	0.1793766233
625	0.179354261
626	0.1793428518
627	0.1793391049
628	0.1793190202
629	0.1792866297
630	0.179252696
631	0.1792453941
632	0.179241305
633	0.1792253586
634	0.1792044713
635	0.179188578
636	0.1791789293
637	0.1791493383
638	0.1791312839
639	0.1791239508
640	0.1791101701
641	0.179080206
642	0.1790474917
643	0.1790235492
644	0.1790174389
645	0.1789942263
646	0.1789897494
647	0.1789490481
648	0.178912141
649	0.1788971293
650	0.1788804453
651	0.1788679528
652	0.1788325917
653	0.1788286725
654	0.1788234041
655	0.1787983248
656	0.1787661172
657	0.1787557398
658	0.178723838
659	0.1787109193
660	0.178684755
661	0.1786693993
662	0.1786554692
663	0.1786545636
664	0.1786228415
665	0.1785967815
666	0.1785723171
667	0.1785393229
668	0.1785345089
669	0.1785138334
670	0.1785009721
671	0.1784738447
672	0.1784247809
673	0.1784063454
674	0.1783903089
675	0.178377938
676	0.178340251
677	0.1783334371
678	0.1782996189
679	0.1782823245
680	0.178244801
681	0.1782334218
682	0.1782200388
683	0.1782054509
684	0.1781780173
685	0.1781611204
686	0.178123179
687	0.1781168743
688	0.1780778558
689	0.1780739748
690	0.1780580554
691	0.178040713
692	0.1780139655
693	0.1780004314
694	0.1779490869
695	0.1779347532
696	0.177906818
697	0.1778894362
698	0.1778660285
699	0.1778389494
700	0.1778250613
701	0.1777992586
702	0.1777717048
703	0.1777598506
704	0.177739944
705	0.1777289916
706	0.1776877442
707	0.1776542644
708	0.177633701
709	0.1776201529
710	0.177618977
711	0.1776042426
712	0.177596437
713	0.1775831193
714	0.1775657109
715	0.1775418077
716	0.1775112895
717	0.1774994587
718	0.1774781329
719	0.1774440359
720	0.1774313023
721	0.1774206169
722	0.177385786
723	0.1773750533
724	0.1773538585
725	0.1773249867
726	0.1773063448
727	0.1772669783
728	0.177240994
729	0.1771874359
730	0.1771730297
731	0.1771671181
732	0.1771514509
733	0.1771345424
734	0.1771202517
735	0.1771034711
736	0.1770739458
737	0.1770358716
738	0.1770015174
739	0.1769918896
740	0.1769795282
741	0.1769570805
742	0.1769357043
743	0.1769305684
744	0.1769068501
745	0.1768973556
746	0.1768890777
747	0.1768769797
748	0.1768416708
749	0.1768228119
750	0.176815813
751	0.1767905721
752	0.1767551755
753	0.1767285897
754	0.1766975294
755	0.1766865344
756	0.1766722768
757	0.1766590411
758	0.1766395652
759	0.1766267725
760	0.1766185331
761	0.176570765
762	0.1765629003
763	0.176556017
764	0.1765256072
765	0.176511704
766	0.1764829329
767	0.1764775035
768	0.1764715046
769	0.1764605704
770	0.176426668
771	0.176384286
772	0.176369625
773	0.1763522857
774	0.1763279215
775	0.1762877636
776	0.1762514182
777	0.1762313191
778	0.1761963278
779	0.1761890728
780	0.1761769938
781	0.1761348104
782	0.1761211953
783	0.1761061568
784	0.1760787446
785	0.1760410024
786	0.1760314368
787	0.1760252504
788	0.1760140636
789	0.1760113917
790	0.1759934758
791	0.1759723819
792	0.1759448158
793	0.1759077337
794	0.1758953114
795	0.1758700334
796	0.1758483783
797	0.1758106138
798	0.1757984992
799	0.1757942812
